FICHA TECNICA (PREENCHA SOMENTE AS CÉLULAS EM BRANCO),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Foto do produto (opcional),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nome da Receita:,,Vela Pianezza 145g,,,,,,,,,,,,,,,,,,
Tamanho da Receita,,"0,145",,Kg,Custo da Receita,,"R$ 17,42",,,,,,,,,,,,,
Quantidade por porção,,"0,145",,Kg,Custo da Porção,,"R$ 17,42",,,,,,,,,,,,,
Rendimento da receita,,1,,Porções,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Validade:,6,,,,,,,,,,,,TOTAL,"R$ 17,42",,,,,,
codigo ,Ingrediente,,,,Unidade,,Quantidade Líquida (utilizada na receita),Valor Unitário,,Rendimento,,Quantidade Bruta,Valor Líquido,Valor Total,,DESCRIÇÃO,,%,VALOR RECEITA,VALOR POR PORÇÃO
3,Base Vela V&G 900g,,,,g,,132,"R$ 0,0450",,100%,,"132,00","R$ 0,05","R$ 5,94",,Despesas Fixas,,, R$  - , R$  - 
276,Essência Para Vela Morango,,,,ml,,13,"R$ 0,3630",,100%,,"13,00","R$ 0,36","R$ 4,72",,Lucro,,0,, R$  - 
238,Pote Pianezza 210ml c/tp Degust.,,,,un,,1,"R$ 6,0600",,100%,,"1,00","R$ 6,06","R$ 6,06",,Desp Var.,,, R$  - , R$  - 
246,Pavio Vela ML,,,,un,,1,"R$ 0,3200",,100%,,"1,00","R$ 0,32","R$ 0,32",,Produto,,100," R$  17,42 "," R$  17,42 "
300,Vinil Lion Mix,,,,un,,"0,053","R$ 3,3700",,100%,,"0,05","R$ 3,37","R$ 0,18",,VALOR FINAL,,," R$  17,42 "," R$  17,42 "
900,Outros,,,,un,,2,"R$ 0,1000",,100%,,"2,00","R$ 0,10","R$ 0,20",,,,,," R$  69,69 "
,-,,,,-,,,-,,-,,-,-,-,,,,,Simulador,
,-,,,,-,,,-,,-,,-,-,-,,,,,Preço Praticado:,"R$ 29,50"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,M.C. - R$,M.C. - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 12,08","40,9%"
,-,,,,-,,,-,,-,,-,-,-,,,,,Lucro - R$,Lucro - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 12,08","40,9%"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,Produto,"R$ 11,36"
,,,,,,,,,,,,,,,,,,,Frasco,"R$ 6,06"
Modo de preparo:,,,,,,,,,,,,,,,,,,,,
1 - ,,,,,,,,,,,,,,,,,,,Valor,"  57,57 "
2 -,,,,,,,,,,,,,,,,,,,Venda,"  59,00 "
3 -,,,,,,,,,,,,,,,,,,,,
4 -,,,,,,,,,,,,,,,,,,,,
5 -,,,,,,,,,,,,,,,,,,,,
6 -,,,,,,,,,,,,,,,,,,,,
7 -,,,,,,,,,,,,,,,,,,,,
8 -,,,,,,,,,,,,,,,,,,,,
9 -,,,,,,,,,,,,,,,,,,,,
10 -,,,,,,,,,,,,,,,,,,,,
11 -,,,,,,,,,,,,,,,,,,,,
12 -,,,,,,,,,,,,,,,,,,,,
13 -,,,,,,,,,,,,,,,,,,,,
14 -,,,,,,,,,,,,,,,,,,,,
15 -,,,,,,,,,,,,,,,,,,,,
16 -,,,,,,,,,,,,,,,,,,,,
17 -,,,,,,,,,,,,,,,,,,,,
18 -,,,,,,,,,,,,,,,,,,,,
19 -,,,,,,,,,,,,,,,,,,,,
20 -,,,,,,,,,,,,,,,,,,,,
21 -,,,,,,,,,,,,,,,,,,,,
22 -,,,,,,,,,,,,,,,,,,,,
23 -,,,,,,,,,,,,,,,,,,,,
24 -,,,,,,,,,,,,,,,,,,,,
25 -,,,,,,,,,,,,,,,,,,,,